Date,Volcano Name,ID,Type,VEI,Latitude,Longitude,Frequency
1965-01-03,Kirishimayama,17160,Eruption,1.0,31.934,130.862,6
1965-04-02,Ebeko,18870,Eruption,1.0,50.68600000000001,156.014,19
1965-05-02,Ambrym,15277,Eruption,3.0,-16.25,168.12,5
1965-05-03,"Fournaise, Piton de la",14374,Eruption,0.0,-21.244,55.708,4
1965-06-02,Tangkuban Parahu,15681,Eruption,1.0,-6.77,107.6,7
1965-06-07,Kiska,19667,Eruption,2.0,52.103,177.602,4
1965-07-02,Ontakesan,20963,Eruption,0.0,35.893,137.48,4
1965-07-02,Ontakesan,20963,Eruption,0.0,35.893,137.48,3
1965-08-13,Kavachi,15160,Eruption,2.0,-8.991,157.97899999999998,6
1965-09-17,Lokon-Empung,16459,Eruption,3.0,1.358,124.792,4
1965-11-06,Deception Island,13194,Eruption,3.0,-63.001000000000005,-60.652,6
1965-11-08,Kavachi,15164,Eruption,1.0,-8.991,157.97899999999998,5
1965-12-06,Shishaldin,20085,Eruption,2.0,54.756,-163.97,5
1966-06-15,Alaid,18891,Eruption,2.0,50.861000000000004,155.565,4
1966-06-15,Alaid,18891,Eruption,2.0,50.861000000000004,155.565,1
1966-06-27,Villarrica,12172,Eruption,1.0,-39.42,-71.93,4
1966-08-03,Colima,10474,Eruption,1.0,19.514,-103.62,4
1966-08-20,Socorro,10377,Eruption,0.0,18.78,-110.95,4
1967-04-11,Telica,10928,Eruption,0.0,12.606,-86.84,5
1968-05-16,Southern EPR-Segment K,10356,Eruption,0.0,-17.436,-113.206,11
1968-05-20,Kuwae,15344,Eruption,2.0,-16.829,168.53599999999997,5
1968-05-21,"Azul, Cerro",11728,Eruption,2.0,-0.92,-91.40799999999999,4
1968-05-21,"Azul, Cerro",11728,Eruption,2.0,-0.92,-91.40799999999999,1
1968-07-02,Ulawun,15057,Eruption,1.0,-5.05,151.33,4
1968-07-12,Bulusan,16766,Eruption,3.0,12.769,124.056,4
1968-10-08,Rincon de la Vieja,11099,Eruption,1.0,10.83,-85.324,4
1969-01-10,Ruapehu,14641,Eruption,2.0,-39.28,175.57,5
1969-06-09,Kanlaon,16738,Eruption,2.0,10.412,123.132,4
1969-08-18,Asamayama,17808,Eruption,2.0,36.406,138.523,4
1969-11-08,Kilauea,10102,Eruption,0.0,19.421,-155.287,7
1969-12-08,Karangetang,16524,Eruption,2.0,2.781,125.40700000000001,12
1969-12-25,Loihi,20732,Eruption,0.0,18.92,-155.27,3
1970-01-06,Redoubt,20390,Eruption,3.0,60.485,-152.74200000000002,4
1970-01-12,Gamalama,16670,Eruption,3.0,0.8,127.33,4
1970-01-20,Kikai,16998,Eruption,2.0,30.793000000000003,130.305,3
1970-02-02,Bezymianny,19375,Eruption,2.0,55.972,160.595,3
1970-02-26,Colima,10475,Eruption,3.0,19.514,-103.62,3
1970-03-08,Masaya,11034,Eruption,1.0,11.985,-86.165,3
1970-04-03,Chikurachki,18856,Eruption,2.0,50.324,155.461,3
1970-04-19,Ulawun,15071,Eruption,2.0,-5.05,151.33,3
1970-04-29,Krakatau,15610,Eruption,2.0,-6.102,105.42299999999999,5
1970-04-30,Dieng Volcanic Complex,15791,Eruption,1.0,-7.2,109.87899999999999,3
1970-05-02,Ruapehu,14655,Eruption,1.0,-39.28,175.57,4
1970-05-06,Masaya,11037,Eruption,1.0,11.985,-86.165,3
