Date,Volcano,ID,Type,VEI,Latitude,Longitude,Frequency
03/11/2011,Telica,10925,Eruption,1,12.606,-86.84,128
26/12/2004,Batur,16195,Eruption,1,-8.242,115.375,51
27/02/2010,Rinjani,16222,Eruption,0,-8.42,116.47,39
02/06/2013,Gaua,15219,Eruption,3,-14.27,167.5,27
15/11/2006,Taal,16853,Eruption,4,14.002,120.993,25
16/11/2000,Tangkuban Parahu,15680,Eruption,1,-6.77,107.6,21
03/12/2011,Masaya,11029,Eruption,1,11.985,-86.165,21
02/04/1965,Ebeko,18870,Eruption,1,50.686,156.014,19
18/07/1992,Kick 'em Jenny,12460,Eruption,0,12.3,-61.64,17
12/03/1995,Izu-Torishima,18370,Eruption,0,30.484,140.303,15
16/08/1995,Izu-Oshima,18037,Eruption,1,34.724,139.394,14
27/12/2004,Tinakula,15200,Eruption,3,-10.386,165.804,14
26/07/1971,Sirung,16363,Eruption,1,-8.508,124.13,13
23/03/1978,Kavachi,15158,Eruption,2,-8.991,157.979,13
10/04/1994,Sarychev Peak,18815,Eruption,2,48.092,153.2,13
10/08/2005,Kilauea,10100,Eruption,0,19.421,-155.287,13
10/07/2009,Klyuchevskoy,19452,Eruption,3,56.056,160.642,13
22/03/2011,Tangkuban Parahu,15679,Eruption,1,-6.77,107.6,13
17/09/2015,Karthala,14201,Eruption,2,-11.75,43.38,13
