Start Year,Month,Day,Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year Uncertainty,Start Day Modifier,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
1965,1,16,344040,Telica,10925,Confirmed Eruption,,1.0,,,,,,Historical Observations,,1965.0,,1.0,,28.0,,12.606,-86.84
1965,8,16,290380,Ebeko,18870,Confirmed Eruption,Middle Crater,1.0,,,,?,15.0,Historical Observations,,1965.0,,8.0,?,16.0,15.0,50.68600000000001,156.014
1965,8,18,264010,Batur,16195,Confirmed Eruption,SW flank (near Batur III),1.0,,,,,,Historical Observations,,1965.0,,12.0,,16.0,15.0,-8.242,115.375
1965,9,16,264030,Rinjani,16222,Confirmed Eruption,Gunung Barujari,0.0,,,,,15.0,Historical Observations,,,,,,,,-8.42,116.47
1965,9,27,257020,Gaua,15219,Confirmed Eruption,Mt. Garat,3.0,,,,,,Historical Observations,,1965.0,,9.0,>,30.0,,-14.27,167.5
1965,9,28,273070,Taal,16853,Confirmed Eruption,SW flank (near Mt. Tabaro),4.0,,,,,,Historical Observations,,1965.0,,9.0,,30.0,,14.002,120.993
1965,10,10,344100,Masaya,11029,Confirmed Eruption,Santiago,1.0,,,,?,,Historical Observations,,1985.0,,4.0,?,16.0,15.0,11.985,-86.165
1965,10,16,263090,Tangkuban Parahu,15680,Confirmed Eruption,,1.0,,,,,15.0,Historical Observations,,1965.0,,10.0,,16.0,15.0,-6.77,107.6
1965,10,24,360160,Kick 'em Jenny,12460,Confirmed Eruption,,0.0,,,,,,Hydrophonic,,1965.0,,10.0,,24.0,,12.3,-61.64
1965,11,2,264270,Sirung,16363,Confirmed Eruption,,1.0,,,,,,Historical Observations,,1965.0,,11.0,,2.0,,-8.508,124.13
1965,11,13,284090,Izu-Torishima,18370,Confirmed Eruption,,0.0,,,,,,Hydrophonic,,1965.0,,12.0,,5.0,4.0,30.484,140.303
1965,11,23,256010,Tinakula,15200,Confirmed Eruption,Upper NW flank,3.0,,,,,,Historical Observations,,1966.0,,6.0,,11.0,,-10.386,165.804
1965,11,25,284010,Izu-Oshima,18037,Confirmed Eruption,Mihara-yama,1.0,,,,,,Historical Observations,,1966.0,,6.0,,13.0,,34.724000000000004,139.394
1965,12,9,290240,Sarychev Peak,18815,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1965.0,,12.0,,9.0,,48.092,153.2
1965,12,11,255060,Kavachi,15158,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1965.0,,12.0,,13.0,,-8.991,157.97899999999998
1965,12,24,332010,Kilauea,10100,Confirmed Eruption,East rift zone (915-960 m),0.0,,,,,,Historical Observations,,1965.0,,12.0,,25.0,,19.421,-155.287
1965,8,16,300260,Klyuchevskoy,19452,Confirmed Eruption,"Summit, NE flank (Piip Crater)",3.0,,,,,15.0,Historical Observations,,1966.0,,12.0,,26.0,,56.056000000000004,160.642
1965,8,9,257010,Suretamatai,15215,Confirmed Eruption,NW flank,2.0,,,,,,Historical Observations,,1966.0,,7.0,,2.0,182.0,-13.8,167.47
1965,1,29,313030,Redoubt,20386,Discredited Eruption,,,,,,,,,,1965.0,,2.0,,16.0,15.0,60.485,-152.74200000000002
1965,7,10,266100,Lokon-Empung,16450,Confirmed Eruption,Tompaluan,1.0,,,,,,Historical Observations,,1965.0,,7.0,,10.0,,1.358,124.792
1965,7,12,233010,Karthala,14201,Confirmed Eruption,Between Changomeni & Chahalé Craters,2.0,?,,,,,Historical Observations,,1965.0,,7.0,,12.0,,-11.75,43.38
1965,2,16,263090,Tangkuban Parahu,15679,Confirmed Eruption,,1.0,,,,,15.0,Historical Observations,,1965.0,,3.0,,16.0,15.0,-6.77,107.6
1965,3,5,332010,Kilauea,10099,Confirmed Eruption,East rift zone (700-915 m),0.0,,,,,,Historical Observations,,1965.0,,3.0,,15.0,,19.421,-155.287
1965,3,9,300250,Bezymianny,19348,Confirmed Eruption,,3.0,,,,,,Historical Observations,,1970.0,,3.0,,16.0,15.0,55.972,160.595
1965,5,7,264270,Sirung,16362,Confirmed Eruption,,1.0,,,,,,Historical Observations,,1965.0,,5.0,,18.0,,-8.508,124.13
1965,5,15,285070,Akan,18698,Confirmed Eruption,Me-Akan (Nakamachineshiri),1.0,,,,,5.0,Historical Observations,,1965.0,,5.0,,15.0,5.0,43.38399999999999,144.013
1965,5,15,300130,Karymsky,19182,Confirmed Eruption,,3.0,,,,,5.0,Historical Observations,,1967.0,,2.0,,16.0,15.0,54.049,159.44299999999998
1965,4,5,267020,Karangetang,16524,Confirmed Eruption,,2.0,,,,,4.0,Historical Observations,,1967.0,,6.0,,16.0,15.0,2.781,125.40700000000001
1965,6,14,343100,San Miguel,21078,Confirmed Eruption,Summit crater,2.0,,,,,,Historical Observations,,,,,,,,13.434000000000001,-88.26899999999999
1965,7,2,357070,"Chillan, Nevados de",11989,Uncertain Eruption,Volcán Nuevo,,,,,,182.0,,,,,,,,,-36.868,-71.378
1965,7,2,251020,Manam,14926,Confirmed Eruption,South Crater,2.0,,,,,182.0,Historical Observations,,1966.0,,1.0,>,25.0,,-4.08,145.037
1965,7,2,262000,Krakatau,15608,Confirmed Eruption,Anak Krakatau,1.0,?,?,,,182.0,Historical Observations,,,,,,,,-6.102,105.42299999999999
1965,7,2,300240,Tolbachik,19315,Confirmed Eruption,,1.0,,,,,182.0,Historical Observations,,,,,,,,55.832,160.326
1965,7,2,334120,Southern EPR-Segment K,10356,Confirmed Eruption,South of Aldo-Kihi lava flow,0.0,,?,,,182.0,Magnetism,,,,,,,,-17.436,-113.206
1965,7,4,342110,Pacaya,10761,Confirmed Eruption,MacKenney Crater and flank vents,3.0,,,,,,Historical Observations,,1989.0,,3.0,,10.0,,14.382,-90.601
1965,5,23,283110,Asamayama,17803,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1965.0,,5.0,,23.0,,36.406,138.523
1966,7,5,273070,Taal,16854,Confirmed Eruption,SW flank (near Mt. Tabaro),3.0,,,,,,Historical Observations,,1966.0,,8.0,,4.0,,14.002,120.993
1966,6,9,261170,Kerinci,15516,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1966.0,,6.0,>,30.0,,-1.6969999999999998,101.264
1966,6,16,344040,Telica,10926,Confirmed Eruption,,1.0,,,,,15.0,Historical Observations,,1966.0,,6.0,,16.0,15.0,12.606,-86.84
1966,7,2,371020,Reykjanes,12510,Uncertain Eruption,Reykjaneshryggur (Eldeyjarbodi),0.0,,,,,182.0,,,,,,,,,63.85,-22.566
1966,7,2,312160,Trident,20234,Confirmed Eruption,SW flank,0.0,,?,,,182.0,Historical Observations,,,,,,,,58.236000000000004,-155.1
1966,7,2,257020,Gaua,15220,Confirmed Eruption,Mt. Garat,2.0,,,,,182.0,Historical Observations,,,,,,,,-14.27,167.5
1966,7,2,263180,Slamet,13401,Confirmed Eruption,,2.0,,,,,182.0,Historical Observations,,,,,,,,-7.242000000000001,109.208
1966,7,16,343100,San Miguel,10859,Confirmed Eruption,,2.0,,,,,15.0,Historical Observations,,,,,,,,13.434000000000001,-88.26899999999999
1966,11,22,282050,Kuchinoerabujima,16973,Confirmed Eruption,Shindake,2.0,,,,,,Historical Observations,,1966.0,,11.0,,22.0,,30.443,130.217
1966,8,12,267040,Awu,16567,Confirmed Eruption,,4.0,,,,,,Historical Observations,,1966.0,,10.0,,16.0,15.0,3.6889999999999996,125.447
1966,8,16,258010,Matthew Island,15361,Uncertain Eruption,,,,,,,15.0,,,,,,,,,-22.33,171.32
1966,9,24,266100,Lokon-Empung,16451,Confirmed Eruption,Tompaluan,2.0,,,,,,Historical Observations,,1966.0,,9.0,?,30.0,,1.358,124.792
1966,10,7,313030,Redoubt,20388,Confirmed Eruption,North end of summit crater (2300 m),3.0,,,,,,Historical Observations,,1967.0,,1.0,,15.0,,60.485,-152.74200000000002
1966,10,28,343030,Izalco,10821,Confirmed Eruption,SSE flank (550 m below summit),0.0,,,,,,Historical Observations,,1966.0,,11.0,,16.0,15.0,13.812999999999999,-89.633
1966,11,6,345020,Rincon de la Vieja,11096,Confirmed Eruption,,3.0,,,,?,,Historical Observations,,1967.0,,12.0,,16.0,15.0,10.83,-85.324
1966,11,13,241040,White Island,14480,Confirmed Eruption,Gilliver Crater,3.0,,,,,,Historical Observations,,1967.0,,3.0,,16.0,15.0,-37.52,177.18
1966,5,23,284170,Pagan,18514,Discredited Eruption,,,,,,,,,,,,,,,,18.13,145.8
1966,8,12,342090,Fuego,10723,Confirmed Eruption,,3.0,,,,,,Historical Observations,,1966.0,,8.0,,13.0,,14.472999999999999,-90.88
1966,5,21,266030,Soputan,13596,Confirmed Eruption,Kawah Soputan,3.0,,,,,,Historical Observations,,1967.0,,11.0,,16.0,15.0,1.112,124.73700000000001
1966,6,15,285070,Akan,18699,Confirmed Eruption,Me-Akan (Nakamachineshiri),1.0,,,,,5.0,Historical Observations,,1966.0,,6.0,,15.0,5.0,43.38399999999999,144.013
1966,5,5,360160,Kick 'em Jenny,12461,Confirmed Eruption,,0.0,,,,,,Hydrophonic,,1966.0,,8.0,,6.0,,12.3,-61.64
1966,5,16,283180,Azumayama,17936,Uncertain Eruption,Issaikyo (Oana),1.0,,,,,15.0,,,1966.0,,8.0,,16.0,15.0,37.735,140.244
1966,1,10,211060,Etna,13796,Confirmed Eruption,"NE Crater, Central Crater",2.0,,,,,,Historical Observations,,1971.0,,3.0,?,16.0,15.0,37.748000000000005,14.999
1966,1,24,313030,Redoubt,20387,Confirmed Eruption,North end of summit crater (2300 m),3.0,,,,,,Historical Observations,,1966.0,,2.0,,20.0,,60.485,-152.74200000000002
1966,2,7,342090,Fuego,10722,Confirmed Eruption,,3.0,,,,,,Historical Observations,,1966.0,,5.0,,1.0,,14.472999999999999,-90.88
1966,2,22,343100,San Miguel,10858,Confirmed Eruption,,2.0,,,,,,Historical Observations,,,,,,,,13.434000000000001,-88.26899999999999
1966,2,28,264050,Sangeang Api,16250,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1966.0,,11.0,,16.0,15.0,-8.2,119.07
1966,3,15,312030,Pavlof,20137,Confirmed Eruption,Upper NE or NNE flank,2.0,,,,,,Historical Observations,,,,,,,,55.417,-161.894
1966,3,15,233020,"Fournaise, Piton de la",14362,Confirmed Eruption,"SE flank (Cratere Maillard, 2400 m)",2.0,?,,,,,Historical Observations,,1966.0,,5.0,,15.0,,-21.244,55.708
1966,3,16,261140,Marapi,15463,Confirmed Eruption,"B and C Craters, Kebun Bungo",1.0,,,,,15.0,Historical Observations,,1966.0,,6.0,,16.0,15.0,-0.38,100.47399999999999
1966,3,9,333020,Rocard,10303,Confirmed Eruption,,0.0,,,,,,Hydrophonic,,1966.0,,3.0,,20.0,,-17.662,-148.586
1966,3,20,255020,Bagana,15135,Confirmed Eruption,,3.0,,,,,,Historical Observations,,1967.0,,11.0,,30.0,,-6.1370000000000005,155.196
1966,3,28,264030,Rinjani,16223,Confirmed Eruption,East side of Barujari (2250 m),1.0,,,,,,Historical Observations,,1966.0,,8.0,,8.0,,-8.42,116.47
1966,4,4,241100,Ruapehu,14633,Confirmed Eruption,,1.0,,,,,,Historical Observations,,1966.0,,9.0,,27.0,,-39.28,175.57
1966,4,15,300240,Tolbachik,19316,Confirmed Eruption,,2.0,,,,,45.0,Historical Observations,,,,,,,,55.832,160.326
1966,4,16,241120,Rumble IV,14670,Discredited Eruption,,,,,,,15.0,,,1966.0,,12.0,>,16.0,15.0,-36.13,178.05
1966,4,21,284202,Ruby,18533,Confirmed Eruption,,0.0,,,,,7.0,Hydrophonic,,1966.0,,5.0,,16.0,15.0,15.62,145.57
1966,4,26,263280,Kelut,15956,Confirmed Eruption,,4.0,,,,,,Historical Observations,,1966.0,,4.0,,27.0,,-7.93,112.30799999999999
1966,3,19,255060,Kavachi,15159,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1966.0,,3.0,>,22.0,,-8.991,157.97899999999998
1966,4,28,264010,Batur,16196,Confirmed Eruption,SW flank (west of 1965 vent),1.0,,,,,,Historical Observations,,,,,,,,-8.242,115.375
1967,9,5,312160,Trident,20235,Confirmed Eruption,SW flank,3.0,,,,,,Historical Observations,,1968.0,,2.0,,25.0,,58.236000000000004,-155.1
1967,8,31,263300,Semeru,16007,Confirmed Eruption,Jonggring Seloko,3.0,,,,,,Historical Observations,,2009.0,,3.0,,15.0,,-8.107999999999999,112.92200000000001
1967,8,16,273070,Taal,16855,Confirmed Eruption,SW flank (near Mt. Tabaro),1.0,,,,,,Historical Observations,,1967.0,,8.0,,19.0,,14.002,120.993
1967,8,9,357060,"Azul, Cerro",11960,Confirmed Eruption,Quizapu,2.0,?,,,,,Historical Observations,,,,,,,,-35.653,-70.76100000000001
1967,7,16,257020,Gaua,15221,Confirmed Eruption,Mt. Garat,2.0,,,,,15.0,Historical Observations,,,,,,,,-14.27,167.5
1967,7,22,241100,Ruapehu,14634,Confirmed Eruption,,1.0,,,,,,Historical Observations,,1967.0,,10.0,?,4.0,,-39.28,175.57
1967,7,16,257040,Ambrym,15274,Confirmed Eruption,"Marum, Benbow, Mbuelesu",2.0,,,,,15.0,Historical Observations,,1970.0,,8.0,,29.0,,-16.25,168.12
1967,9,6,290360,Chikurachki,18852,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1967.0,,9.0,,20.0,,50.324,155.461
1967,8,7,345060,Irazu,11229,Discredited Eruption,,,,,,,,,,,,,,,,9.979,-83.852
1967,10,10,261160,Talang,15490,Confirmed Eruption,NE flank (200 m below summit),1.0,,,,,,Historical Observations,,1967.0,,10.0,,10.0,,-0.9790000000000001,100.681
1967,12,11,243070,Lateiki,14764,Confirmed Eruption,,2.0,,,,<,,Historical Observations,,1968.0,,1.0,,4.0,4.0,-19.18,-174.87
1967,11,2,261170,Kerinci,15517,Confirmed Eruption,,2.0,,,,,,Historical Observations,,,,,,,,-1.6969999999999998,101.264
